dt = 0.000500
Temps;Energie
0.000000;5601.470947
0.010000;5549.524439
0.020000;5604.179809
0.030000;5608.689821
0.040000;5609.002729
0.050000;5608.956807
0.060000;5608.906714
0.070000;5608.876529
0.080000;5608.859646
0.090000;5608.850170
0.100000;5608.844723
0.110000;5608.841502
0.120000;5608.839542
0.130000;5608.838316
0.140000;5608.837530
0.150000;5608.837014
0.160000;5608.836669
0.170000;5608.836433
0.180000;5608.836269
0.190000;5608.836153
0.200000;5608.836070
0.210000;5608.836010
0.220000;5608.835966
0.230000;5608.835933
0.240000;5608.835908
0.250000;5608.835890
0.260000;5608.835875
0.270000;5608.835864
0.280000;5608.835855
0.290000;5608.835849
0.300000;5608.835843
0.310000;5608.835839
0.320000;5608.835836
0.330000;5608.835833
0.340000;5608.835831
0.350000;5608.835829
0.360000;5608.835827
0.370000;5608.835826
0.380000;5608.835825
0.390000;5608.835824
0.400000;5608.835823
0.410000;5608.835823
0.420000;5608.835822
0.430000;5608.835822
0.440000;5608.835822
0.450000;5608.835821
0.460000;5608.835821
0.470000;5608.835821
0.480000;5608.835821
0.490000;5608.835820
