Temps;Energie
0.000000;-8.842254
0.010000;-9.287482
0.020000;-9.556481
0.030000;-9.639802
0.040000;-9.566315
0.050000;-9.384638
0.060000;-9.145404
0.070000;-8.890163
0.080000;-8.647379
0.090000;-8.433207
0.100000;-8.254401
0.110000;-8.111550
0.120000;-8.001758
0.130000;-7.920527
0.140000;-7.862949
0.150000;-7.824355
0.160000;-7.800630
0.170000;-7.788309
0.180000;-7.784567
0.190000;-7.787154
0.200000;-7.794303
0.210000;-7.804651
0.220000;-7.817157
0.230000;-7.831031
0.240000;-7.845685
0.250000;-7.860683
0.260000;-7.875706
0.270000;-7.890529
0.280000;-7.904990
0.290000;-7.918982
0.300000;-7.932436
0.310000;-7.945311
0.320000;-7.957588
0.330000;-7.969262
0.340000;-7.980339
0.350000;-7.990836
0.360000;-8.000772
0.370000;-8.010169
0.380000;-8.019055
0.390000;-8.027454
0.400000;-8.035395
0.410000;-8.042903
0.420000;-8.050005
0.430000;-8.056725
0.440000;-8.063089
0.450000;-8.069119
0.460000;-8.074836
0.470000;-8.080262
0.480000;-8.085416
0.490000;-8.090316
0.500000;-8.094979
0.510000;-8.099422
0.520000;-8.103660
0.530000;-8.107708
0.540000;-8.111577
0.550000;-8.115281
0.560000;-8.118832
0.570000;-8.122241
0.580000;-8.125518
0.590000;-8.128672
0.600000;-8.131713
0.610000;-8.134649
0.620000;-8.137490
0.630000;-8.140241
0.640000;-8.142912
0.650000;-8.145508
0.660000;-8.148036
0.670000;-8.150503
0.680000;-8.152915
0.690000;-8.155277
0.700000;-8.157596
0.710000;-8.159876
0.720000;-8.162124
0.730000;-8.164344
0.740000;-8.166541
0.750000;-8.168720
0.760000;-8.170887
0.770000;-8.173046
0.780000;-8.175202
0.790000;-8.177359
0.800000;-8.179524
0.810000;-8.181700
0.820000;-8.183893
0.830000;-8.186108
0.840000;-8.188350
0.850000;-8.190624
0.860000;-8.192936
0.870000;-8.195292
0.880000;-8.197696
0.890000;-8.200157
0.900000;-8.202678
0.910000;-8.205268
0.920000;-8.207932
0.930000;-8.210677
0.940000;-8.213512
0.950000;-8.216443
0.960000;-8.219477
0.970000;-8.222623
0.980000;-8.225889
0.990000;-8.229282
1.000000;-8.232811
1.010000;-8.236483
1.020000;-8.240306
1.030000;-8.244285
1.040000;-8.248428
1.050000;-8.252737
1.060000;-8.257214
1.070000;-8.261859
