dt = 0.010000
Temps;Energie
0.000000;131.460731
0.100000;134.259054
0.200000;134.519357
0.300000;134.213411
0.400000;134.106906
0.500000;134.068177
0.600000;134.052126
0.700000;134.044574
0.800000;134.040612
0.900000;134.038338
1.000000;134.036933
1.100000;134.036012
1.200000;134.035378
1.300000;134.034922
1.400000;134.034585
1.500000;134.034326
1.600000;134.034122
1.700000;134.033957
1.800000;134.033820
1.900000;134.033703
2.000000;134.033600
2.100000;134.033506
2.200000;134.033418
2.300000;134.033330
2.400000;134.033241
2.500000;134.033145
2.600000;134.033037
2.700000;134.032910
2.800000;134.032753
2.900000;134.032551
3.000000;134.032280
3.100000;134.031898
3.200000;134.031332
3.300000;134.030446
3.400000;134.028957
3.500000;134.026240
3.600000;134.020746
3.700000;134.008616
3.800000;133.991789
3.900000;134.220958
4.000000;133.952206
4.100000;134.073270
4.200000;134.054146
4.300000;134.044128
4.400000;134.039534
4.500000;134.037206
4.600000;134.035906
4.700000;134.035120
4.800000;134.034615
4.900000;134.034273
5.000000;134.034032
5.100000;134.033855
5.200000;134.033720
5.300000;134.033615
5.400000;134.033529
5.500000;134.033458
5.600000;134.033397
5.700000;134.033342
5.800000;134.033290
5.900000;134.033241
6.000000;134.033191
6.100000;134.033139
6.200000;134.033082
6.300000;134.033018
6.400000;134.032942
6.500000;134.032850
6.600000;134.032735
6.700000;134.032586
6.800000;134.032387
6.900000;134.032112
7.000000;134.031715
7.100000;134.031117
7.200000;134.030163
7.300000;134.028535
7.400000;134.025508
7.500000;134.019271
7.600000;134.005474
7.700000;133.995351
7.800000;134.217804
7.900000;134.011602
8.000000;134.070021
8.100000;134.051819
8.200000;134.043067
8.300000;134.038998
8.400000;134.036901
8.500000;134.035713
8.600000;134.034989
8.700000;134.034519
8.800000;134.034199
8.900000;134.033972
9.000000;134.033804
9.100000;134.033677
9.200000;134.033576
9.300000;134.033495
9.400000;134.033427
9.500000;134.033368
9.600000;134.033314
9.700000;134.033265
9.800000;134.033216
9.900000;134.033167
10.000000;134.033115
