dt = 0.000010
Temps;Energie
0.000000;5.018461
0.100000;5.017151
0.200000;5.019057
0.300000;5.018992
0.400000;5.018789
0.500000;5.018629
0.600000;5.018512
0.700000;5.018524
0.800000;5.018591
0.900000;5.018411
1.000000;5.018556
1.100000;5.018512
1.200000;5.018444
1.300000;5.018407
1.400000;5.018526
1.500000;5.018431
1.600000;5.018458
1.700000;5.018526
1.800000;5.018473
1.900000;5.018421
2.000000;5.018442
2.100000;5.018428
2.200000;5.018491
2.300000;5.018436
2.400000;5.018494
2.500000;5.018455
2.600000;5.018466
2.700000;5.018413
2.800000;5.018403
2.900000;5.018444
3.000000;5.018471
3.100000;5.018359
3.200000;5.018433
3.300000;5.018413
3.400000;5.018348
3.500000;5.018564
3.600000;5.018267
3.700000;5.018392
3.800000;5.018442
3.900000;5.018259
4.000000;5.018651
4.100000;5.018492
4.200000;5.018540
4.300000;5.018538
4.400000;5.018483
4.500000;5.018379
4.600000;5.018296
4.700000;5.018211
4.800000;5.019308
4.900000;5.017445
5.000000;5.018536
5.100000;5.018449
5.200000;5.018978
5.300000;5.018477
5.400000;5.018614
5.500000;5.018513
5.600000;5.018493
5.700000;5.018527
5.800000;5.018518
5.900000;5.018415
6.000000;5.018471
6.100000;5.018508
6.200000;5.018479
6.300000;5.018450
6.400000;5.018432
6.500000;5.018421
6.600000;5.018451
6.700000;5.018474
6.800000;5.018379
6.900000;5.018409
7.000000;5.018441
7.100000;5.018425
7.200000;5.018674
7.300000;5.018175
7.400000;5.018345
7.500000;5.018800
7.600000;5.018109
7.700000;5.018573
7.800000;5.018546
7.900000;5.018557
8.000000;5.018489
8.100000;5.018380
8.200000;5.018416
8.300000;5.018765
8.400000;5.018307
8.500000;5.018526
8.600000;5.018419
8.700000;5.018299
8.800000;5.018378
8.900000;5.018778
9.000000;5.018337
9.100000;5.018668
9.200000;5.018529
9.300000;5.018398
9.400000;5.018484
9.500000;5.018011
9.600000;5.018426
9.700000;5.018365
9.800000;5.018819
9.900000;5.018187
10.000000;5.018602
10.100000;5.018539
10.200000;5.018410
10.300000;5.018247
10.400000;5.019345
10.500000;5.018416
10.600000;5.018510
10.700000;5.018401
10.800000;5.018448
10.900000;5.018445
11.000000;5.018535
11.100000;5.018197
