dt = 0.010000
Temps;Energie
0.000000;5601.470947
0.010000;19110.614800
0.020000;24144.557507
0.030000;24141.504110
0.040000;24140.031671
0.050000;24139.753260
0.060000;24139.682641
0.070000;24139.659806
0.080000;24139.650803
0.090000;24139.646631
0.100000;24139.644484
0.110000;24139.643385
0.120000;24139.642968
0.130000;24139.643098
0.140000;24139.643723
0.150000;24139.644826
0.160000;24139.646394
0.170000;24139.648404
0.180000;24139.650814
0.190000;24139.653555
0.200000;24139.656524
0.210000;24139.659588
0.220000;24139.662576
0.230000;24139.665297
0.240000;24139.667542
0.250000;24139.669109
0.260000;24139.669823
0.270000;24139.669561
0.280000;24139.668272
0.290000;24139.665992
0.300000;24139.662852
0.310000;24139.659071
0.320000;24139.654931
0.330000;24139.650755
0.340000;24139.646869
0.350000;24139.643564
0.360000;24139.641074
0.370000;24139.639548
0.380000;24139.639044
0.390000;24139.639531
0.400000;24139.640900
0.410000;24139.642989
0.420000;24139.645600
0.430000;24139.648527
0.440000;24139.651571
0.450000;24139.654557
0.460000;24139.657343
0.470000;24139.659821
0.480000;24139.661918
0.490000;24139.663591
